fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
7075,57,829,21,4661,15,8734,13,5309,12,7332,380,7334,32,7324,17,3339,117,9538,27,3340,14,1,27,195,332,438,447,147,144,156,0.025229358,0,447,0.391498881,0.608501119,0.026845638,0.017897092,0.017897092,0.004474273,0.004474273,0.234899329,0.073825503,0.053691275,0.543624161,0.022371365,0.979865772,0.008948546,0.011185682,0,0,0,0.163310962,0.420581655,0.416107383,0,1,0,0,0
0,24,4019,8,5061,5,7217,1,4609,1,6396,38,6378,1,0,0,6591,36,9206,1,8724,1,0,1,11,17,38,39,11,17,11,0.026315789,0,39,1,0,0,0.025641026,0,0,0,0.179487179,0,0.025641026,0.769230769,0,0.948717949,0,0.051282051,0,0,0,0.615384615,0.153846154,0.230769231,0,0,0,1,0
4344,22,2111,7,3839,1,5838,1,688,1,7332,29,7380,5,0,0,7097,16,939,5,217,3,0,0,6,15,26,34,13,6,15,0.1875,0,34,0.058823529,0.941176471,0.029411765,0,0,0.058823529,0,0.323529412,0.058823529,0.058823529,0.411764706,0.058823529,0.764705882,0,0.235294118,0,0,0,0.735294118,0.058823529,0.205882353,0,1,0,0,0
8456,49,7180,33,1884,29,4505,18,23,8,7332,146,7324,22,7334,7,467,72,9913,19,9175,9,0,22,84,131,170,177,49,73,55,0.011428571,0.005681818,177,0.564971751,0.435028249,0.050847458,0.056497175,0.02259887,0.02259887,0.02259887,0.197740113,0.129943503,0.056497175,0.384180791,0.056497175,1,0,0,0,0,0,0.649717514,0.06779661,0.276836158,0.005649718,1,0,0,0
1009,13,3042,10,3851,7,8693,4,3062,3,7334,36,7148,25,7452,1,8399,25,386,15,2811,12,0,4,24,36,59,62,13,31,18,0.016666667,0,62,0.548387097,0.451612903,0.032258065,0.032258065,0,0,0.016129032,0.322580645,0.129032258,0.064516129,0.403225806,0,1,0,0,0,0,0,0.322580645,0.209677419,0.435483871,0.032258065,1,0,0,0
1892,56,804,39,6114,32,9701,26,2708,26,7334,209,7324,162,1854,15,8096,105,6561,61,6080,15,14,26,138,296,420,446,66,221,159,0.108597285,0.074660633,446,0.493273543,0.506726457,0.044843049,0.011210762,0.02690583,0.015695067,0.00896861,0.316143498,0.143497758,0.067264574,0.325112108,0.040358744,0.885650224,0.114349776,0,0,0,0,0.269058296,0.065022422,0.665919283,0,0.923766816,0.076233184,0,0
3425,44,9635,13,6455,7,8676,7,6192,6,7204,77,7332,24,7134,2,9833,44,9624,12,2932,7,0,6,41,70,104,105,28,22,55,0.058252427,0.230769231,105,0.428571429,0.571428571,0.047619048,0.038095238,0.00952381,0.019047619,0.019047619,0.257142857,0.152380952,0.104761905,0.333333333,0.019047619,0.942857143,0,0.057142857,0,0,0,0.2,0.133333333,0.666666667,0,1,0,0,0
830,11,7181,5,2573,3,273,2,5722,2,7558,30,0,0,0,0,1381,14,8836,8,5734,1,0,3,19,26,29,30,10,9,11,0,0,30,0.3,0.7,0.033333333,0.033333333,0,0,0,0.233333333,0.1,0.066666667,0.5,0.033333333,1,0,0,0,0,0,0.1,0.066666667,0.833333333,0,1,0,0,0
2780,50,7670,32,7675,21,2300,10,4059,6,7334,79,7556,29,7324,10,8880,66,4743,23,8882,8,2,4,37,82,116,138,28,75,35,0.02189781,0,138,0.231884058,0.768115942,0.02173913,0.014492754,0.014492754,0.007246377,0,0.217391304,0.144927536,0.065217391,0.507246377,0.007246377,1,0,0,0,0,0,0.97826087,0.007246377,0.014492754,0,1,0,0,0
338,96,2615,66,5441,47,2124,21,7779,17,7556,291,7562,85,7554,12,1744,228,8432,22,1284,21,0,50,199,296,391,395,126,125,144,0.025641026,0,395,0.536708861,0.463291139,0.012658228,0.005063291,0.002531646,0.007594937,0.002531646,0.26835443,0.088607595,0.037974684,0.562025316,0.012658228,0.992405063,0,0.007594937,0,0,0,0.551898734,0.098734177,0.339240506,0.010126582,1,0,0,0
9838,53,2958,11,4770,10,3061,6,3303,5,7324,92,7558,15,7148,1,7522,56,341,22,1221,12,0,13,59,89,106,108,49,29,30,0.117647059,0,108,0.361111111,0.638888889,0,0,0,0.009259259,0.009259259,0.148148148,0.074074074,0,0.75,0.009259259,1,0,0,0,0,0,0.759259259,0.037037037,0.203703704,0,1,0,0,0
9213,12,6599,10,9118,8,2540,8,9366,8,7334,72,7332,69,0,0,7678,65,5778,33,3339,17,0,22,63,109,140,141,37,59,45,0.03649635,0,141,0.595744681,0.404255319,0.035460993,0.007092199,0.007092199,0,0.007092199,0.234042553,0.113475177,0,0.588652482,0.007092199,0.971631206,0.007092199,0.021276596,0,0,0,0.219858156,0.19858156,0.581560284,0,1,0,0,0
6760,45,6208,25,7679,7,4435,7,6164,6,7558,101,7562,3,7556,1,8368,90,7500,2,5339,2,0,56,68,79,106,106,50,27,29,0.057692308,0,106,0.358490566,0.641509434,0.075471698,0.028301887,0.009433962,0.009433962,0,0.367924528,0.094339623,0.094339623,0.264150943,0.056603774,0.952830189,0.018867925,0.028301887,0,0,0,0.056603774,0.028301887,0.91509434,0,1,0,0,0
518,7,2383,6,7534,2,713,1,1269,1,7454,18,7448,1,0,0,2849,11,2088,5,2089,2,0,0,7,11,17,19,1,10,8,0,0,19,0.210526316,0.789473684,0,0,0,0,0,0.210526316,0.210526316,0,0.421052632,0.157894737,1,0,0,0,0,0,0.421052632,0.315789474,0.263157895,0,1,0,0,0
3908,44,2086,23,5510,5,5944,4,5202,3,7558,82,7432,6,7556,3,6510,59,484,11,6508,7,0,2,41,61,93,95,27,41,27,0.043478261,0.086021505,95,0.568421053,0.431578947,0.021052632,0.010526316,0.042105263,0,0,0.273684211,0.178947368,0.052631579,0.368421053,0.052631579,0.957894737,0.042105263,0,0,0,0,0.315789474,0.042105263,0.642105263,0,0.957894737,0.042105263,0,0
5373,7,3162,3,7057,1,9480,1,9318,1,7562,12,7554,7,0,0,9360,5,7407,5,9361,3,0,1,9,13,19,19,13,1,5,0,0,19,0.631578947,0.368421053,0,0,0.052631579,0.105263158,0.052631579,0.157894737,0.210526316,0.052631579,0.368421053,0,1,0,0,0,0,0,0.105263158,0.315789474,0.578947368,0,1,0,0,0
4560,12,7443,10,1286,1,9982,1,7123,1,7562,25,1668,2,0,0,2008,12,7624,7,5254,3,0,3,5,10,25,27,9,12,6,0,0.038461538,27,0.407407407,0.592592593,0.037037037,0.074074074,0.037037037,0.074074074,0.037037037,0.222222222,0.037037037,0.074074074,0.259259259,0.148148148,1,0,0,0,0,0,0.518518519,0.444444444,0,0.037037037,1,0,0,0
7413,16,5635,6,1142,2,8816,2,88,1,7562,14,7554,10,7558,6,7238,9,2394,9,2579,5,0,1,5,12,26,30,17,3,10,0,0,30,0.633333333,0.366666667,0.033333333,0.033333333,0,0,0,0.366666667,0.166666667,0.1,0.3,0,1,0,0,0,0,0,0,0.1,0.9,0,1,0,0,0
3199,33,448,30,8003,14,191,13,4639,10,7556,116,7562,18,0,0,5556,67,515,12,5557,7,0,6,52,72,128,134,41,58,35,0.18699187,0,134,0.171641791,0.828358209,0.037313433,0.044776119,0.029850746,0.029850746,0.02238806,0.328358209,0.059701493,0.104477612,0.253731343,0.089552239,0.940298507,0,0.059701493,0,0,0,0.298507463,0.074626866,0.626865672,0,1,0,0,0
